Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:170.13M (Peak 170.13M) | Time:00:00.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_22
Fra:590 Mem:170.71M (Peak 170.71M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_23
Fra:590 Mem:171.89M (Peak 171.89M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_24
Fra:590 Mem:172.47M (Peak 172.47M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_25
Fra:590 Mem:173.46M (Peak 173.46M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_26
Fra:590 Mem:174.04M (Peak 174.04M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_27
Fra:590 Mem:175.09M (Peak 175.09M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_28
Fra:590 Mem:175.68M (Peak 175.68M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_29
Fra:590 Mem:177.16M (Peak 177.16M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_30
Fra:590 Mem:177.74M (Peak 177.74M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_31
Fra:590 Mem:178.33M (Peak 178.33M) | Time:00:00.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_32
Fra:590 Mem:179.80M (Peak 179.80M) | Time:00:00.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_33
Fra:590 Mem:180.38M (Peak 180.38M) | Time:00:00.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_34
Fra:590 Mem:181.85M (Peak 181.85M) | Time:00:00.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_35
Fra:590 Mem:182.44M (Peak 182.44M) | Time:00:00.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_36
Fra:590 Mem:183.02M (Peak 183.02M) | Time:00:00.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_37
Fra:590 Mem:184.19M (Peak 184.19M) | Time:00:00.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_38
Fra:590 Mem:184.77M (Peak 184.77M) | Time:00:00.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_39
Fra:590 Mem:186.24M (Peak 186.24M) | Time:00:00.57 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_40
Fra:590 Mem:186.82M (Peak 186.82M) | Time:00:00.57 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_41
Fra:590 Mem:187.41M (Peak 187.41M) | Time:00:00.57 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_42
Fra:590 Mem:187.99M (Peak 187.99M) | Time:00:00.57 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_43
Fra:590 Mem:189.76M (Peak 189.76M) | Time:00:00.59 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_44
Fra:590 Mem:190.34M (Peak 190.34M) | Time:00:00.59 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_45
Fra:590 Mem:190.92M (Peak 190.92M) | Time:00:00.59 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_46
Fra:590 Mem:192.10M (Peak 192.10M) | Time:00:00.60 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_47
Fra:590 Mem:192.68M (Peak 192.68M) | Time:00:00.60 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_48
Fra:590 Mem:194.15M (Peak 194.15M) | Time:00:00.61 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_49
Fra:590 Mem:194.73M (Peak 194.73M) | Time:00:00.61 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_50
Fra:590 Mem:195.31M (Peak 195.31M) | Time:00:00.61 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_51
Fra:590 Mem:195.88M (Peak 195.88M) | Time:00:00.62 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_52
